person_id,clicked_on_ad,age,months_since_first_login,visits_per_month,linked_to_twitter_acct,linked_to_facebook_acct,referred_by_friend
136,0,20,28,5,1,1,0
137,0,50,18,2,1,0,0
138,0,24,27,4,0,1,0
139,0,49,21,1,1,1,1
140,0,51,18,1,1,0,0
141,0,34,28,5,0,1,0
142,1,29,29,3,1,0,0
143,0,48,25,5,0,0,1
144,1,50,0,3,0,0,1
145,0,35,15,1,0,1,1
146,0,32,22,1,0,0,0
147,0,56,21,5,0,0,1
148,0,33,6,2,1,0,1
149,1,26,21,0,1,0,0
150,1,39,14,2,1,0,1
151,1,69,18,2,0,0,0
152,0,36,22,0,1,0,0
153,0,25,25,5,1,1,0
154,0,29,4,6,0,0,0
155,1,41,13,0,1,1,0
156,1,54,18,3,0,0,0
157,0,28,11,0,0,1,0
158,0,38,18,2,0,0,0
159,0,27,17,2,0,0,0
160,0,48,8,1,0,1,1
161,0,50,13,0,1,1,0
162,0,49,16,4,0,1,1
163,0,56,20,0,1,0,1
164,0,40,29,2,0,0,0
165,0,34,15,0,0,0,1
166,0,52,29,5,0,0,1
167,0,49,19,5,0,0,0
168,1,27,2,4,1,1,0
169,0,55,2,6,1,0,0
170,0,52,24,3,0,0,0
171,0,20,21,5,0,1,1
172,0,54,5,0,0,0,0
173,1,51,10,3,0,0,0
174,1,21,5,5,1,0,0
175,1,24,17,1,0,0,0
176,1,21,19,5,1,0,0
177,1,48,6,3,0,1,0
178,0,23,18,1,1,1,0
179,0,51,13,4,1,0,0
180,1,33,7,2,0,1,0
181,1,60,11,5,1,0,0
182,0,23,29,5,0,1,1
183,0,16,18,2,1,1,1
184,1,53,23,3,0,1,0
185,0,21,5,1,1,0,1
186,0,30,18,2,1,1,1
187,1,43,23,2,0,1,0
188,0,43,18,2,0,0,0
189,0,51,30,1,0,1,1
190,0,37,21,1,0,0,1
191,0,19,6,5,1,1,1
192,0,48,5,0,0,1,0
193,0,24,26,4,0,0,1
194,1,44,2,7,0,0,0
195,0,30,13,0,1,0,0
196,0,38,23,5,1,0,0
197,0,44,24,2,1,1,0
198,0,40,24,4,0,1,0
199,0,48,11,1,1,0,0
200,1,68,29,5,0,0,0
201,0,36,23,0,1,0,0
202,1,43,9,3,1,1,0
203,0,28,26,5,0,0,0
204,0,16,29,3,1,0,1
205,0,56,24,5,1,1,0
206,0,25,13,2,1,1,0
207,0,43,9,5,0,0,1
208,0,32,26,3,1,0,1
209,0,45,5,2,0,0,1
210,1,44,12,3,1,0,0
211,0,32,15,1,1,0,1
212,0,40,22,0,0,0,1
213,0,20,28,5,1,0,1
214,0,44,18,1,1,1,0
215,0,24,14,3,1,1,0
216,0,49,3,8,0,0,0
217,1,30,9,1,0,1,0
218,0,54,18,5,0,0,1
219,1,35,-1,4,0,0,0
220,0,44,23,0,0,0,1
221,1,64,23,1,1,1,0
222,0,27,21,3,1,0,0
223,0,37,4,3,1,0,0
224,0,24,15,2,0,1,0
225,0,40,15,1,1,1,0
226,0,16,18,3,0,0,0
227,0,52,8,2,0,0,0
228,0,32,4,5,1,0,0
229,1,55,11,0,0,0,0
230,0,52,6,3,0,0,0
231,1,66,3,9,0,1,0
232,0,28,22,5,1,1,0
233,1,69,23,2,0,0,0
234,0,17,25,4,0,0,0
235,0,52,2,2,1,0,1
236,0,22,16,1,1,0,0
237,0,28,2,9,1,0,0
238,0,44,6,0,0,1,1
239,0,55,15,5,1,0,1
240,1,64,12,0,1,0,0
241,0,40,6,1,1,0,1
242,1,29,8,1,0,0,0
243,1,43,19,1,0,0,1
244,0,36,13,0,0,1,1
245,1,27,18,2,1,0,0
246,0,36,11,1,0,0,1
247,0,40,25,3,1,0,0
248,1,29,6,2,1,0,0
249,0,40,14,3,0,0,0
250,1,65,13,1,0,0,0
251,0,33,26,5,1,0,0
252,0,44,28,1,1,0,0
253,0,54,24,1,0,0,0
254,1,21,6,2,1,0,0
255,0,54,6,0,0,1,0
256,0,53,21,0,0,1,1
257,0,29,24,2,0,0,0
258,0,38,4,2,1,0,0
259,1,64,22,3,1,0,0
260,0,45,28,5,1,0,0
261,1,47,8,5,1,1,0
262,0,56,27,4,1,0,0
263,1,20,3,2,1,0,0
264,0,49,4,7,0,0,1
265,0,46,26,4,0,0,0
266,0,30,21,3,1,0,1
267,0,18,27,1,1,1,0
268,0,54,2,5,0,0,0
269,0,37,10,5,0,0,0
270,0,47,3,2,1,0,0
271,0,23,26,3,0,0,0
272,1,25,3,8,0,1,1
273,0,36,19,2,0,0,0
274,0,40,29,3,0,0,1
275,0,23,25,1,1,0,0
276,0,28,4,3,0,1,0
277,1,33,4,2,1,0,0
278,0,32,0,9,0,0,1
279,0,52,27,3,0,0,0
280,0,20,28,3,1,1,1
281,0,52,7,3,0,0,1
282,0,41,24,1,1,0,0
283,1,67,4,4,0,0,0
284,0,53,15,3,1,1,0
285,0,30,20,3,0,0,0
286,0,33,30,4,0,1,1
287,0,44,0,9,0,0,0
288,0,55,19,1,1,0,0
289,0,44,5,5,1,0,1
290,0,30,30,0,1,0,1
291,1,55,17,4,1,1,0
292,0,42,26,3,0,0,0
293,0,32,28,4,1,0,0
294,0,16,27,2,0,1,0
295,0,32,6,0,0,1,0
296,1,57,18,2,0,0,1
297,1,47,10,5,1,0,0
298,1,66,13,1,0,0,0
299,0,48,27,5,1,1,0
300,1,44,2,9,0,0,0
301,0,45,16,0,1,1,1
302,0,35,28,0,0,0,0
303,1,43,13,1,0,1,1
304,0,35,10,3,0,0,0
305,1,32,3,4,0,0,0
306,0,33,21,1,1,0,0
307,1,66,24,3,1,0,1
308,0,33,30,3,0,0,1
309,0,49,12,4,1,0,1
310,1,44,1,5,0,1,0
311,0,23,16,5,0,0,1
312,0,40,27,5,0,0,1
313,0,19,19,5,1,1,0
314,1,69,23,0,1,0,0
315,0,44,8,2,0,1,0
316,1,26,2,6,1,0,1
317,1,56,4,3,1,0,0
318,0,46,4,2,0,0,0
319,0,30,21,1,1,1,0
320,0,36,7,1,0,1,1
321,0,32,22,2,0,0,1
322,1,66,20,4,1,0,1
323,0,40,0,3,1,0,1
324,0,16,16,1,1,1,1
325,0,50,30,3,0,0,1
326,0,53,1,9,1,0,1
327,0,25,1,9,1,0,0
328,0,32,25,3,0,1,0
329,0,32,9,4,1,0,1
330,0,29,22,0,0,0,0
331,0,51,18,5,1,0,0
332,0,21,21,5,1,0,0
333,1,47,4,9,1,0,0
334,0,40,8,3,1,0,1
335,0,28,16,4,0,1,0
336,0,28,15,0,1,0,0
337,0,28,0,3,0,0,0
338,1,33,0,4,0,0,1
339,0,44,9,1,0,1,1
340,0,45,0,5,1,0,0
341,0,52,19,5,1,0,0
342,0,28,14,1,1,1,0
343,0,51,6,2,1,0,1
344,0,54,30,5,0,0,1
345,0,37,4,3,0,0,0
346,0,40,8,0,1,0,0
347,0,21,28,5,1,1,0
348,0,40,16,5,1,1,0
349,1,41,13,3,1,1,0
350,0,48,22,0,0,1,0
351,0,42,16,2,0,0,0
352,0,44,22,5,0,0,0
353,1,41,6,5,1,0,0
354,1,35,16,1,0,0,0
355,1,55,19,3,0,0,0
356,1,43,22,0,0,0,1
357,0,51,1,3,1,0,0
358,0,30,26,3,0,0,1
359,0,28,27,0,1,0,0
360,0,42,27,4,0,0,0
361,0,29,6,4,0,0,0
362,0,50,6,4,0,0,1
363,0,48,0,10,0,1,0
364,0,30,2,7,0,1,1
365,0,45,19,5,0,1,1
366,0,32,17,0,1,1,1
367,0,33,14,2,1,0,1
368,0,28,2,4,0,0,0
369,1,26,0,8,1,1,0
370,0,48,11,3,0,0,0
371,0,32,15,2,0,0,0
372,0,26,9,1,0,0,1
373,0,17,3,7,0,0,0
374,0,21,6,1,0,1,0
375,1,68,8,3,1,0,0
376,0,20,0,8,0,1,0
377,0,48,1,9,1,0,0
378,0,17,25,4,1,0,0
379,1,61,29,4,0,0,0
380,1,28,16,5,0,0,0
381,0,20,11,4,0,0,1
382,1,46,13,4,1,0,0
383,1,23,11,2,0,0,0
384,0,44,8,4,0,0,0
385,0,33,28,4,1,1,0
386,0,36,23,2,1,1,0
387,0,33,14,3,1,0,0
388,0,44,23,2,1,1,1
389,1,41,14,5,1,0,0
390,1,29,10,1,0,1,0
391,1,51,12,4,0,0,0
392,1,43,17,5,0,1,0
393,0,52,7,3,1,1,1
394,0,44,7,5,0,0,0
395,1,62,11,1,0,0,0
396,0,23,21,0,0,0,0
397,1,62,19,1,1,0,0
398,1,33,1,9,0,0,0
399,0,35,15,0,0,0,0
400,1,47,29,1,1,0,0
401,0,20,20,1,0,0,1
402,0,19,17,1,0,0,1
403,0,17,27,0,0,1,0
404,1,41,27,5,1,0,0
405,0,32,28,5,1,1,0
406,0,30,11,2,1,0,0
407,0,26,7,3,0,1,0
408,0,30,17,4,0,1,0
409,0,42,28,5,0,0,0
410,0,54,29,2,0,0,1
411,1,35,8,2,1,0,0
412,0,22,10,1,0,0,1
413,0,44,11,3,0,0,0
414,1,59,15,0,0,0,0
415,1,62,12,0,1,0,0
416,0,46,28,0,0,0,0
417,1,38,21,3,1,0,0
418,0,31,6,0,0,0,0
419,1,30,8,5,1,1,1
420,1,31,18,2,0,1,0
421,0,51,8,3,0,0,1
422,1,42,5,4,0,0,0
423,0,16,1,2,0,0,0
424,0,49,26,4,0,0,1
425,1,61,2,9,1,0,0
426,0,41,27,5,1,0,1
427,0,44,30,2,1,1,0
428,0,51,15,3,0,1,0
429,1,33,14,4,1,0,0
430,0,51,1,6,1,0,1
431,0,33,22,3,0,0,1
432,1,26,4,7,1,1,0
433,0,36,11,3,1,0,1
434,0,48,20,4,0,0,1
435,0,36,17,3,1,0,0
436,1,43,13,3,0,0,0
437,0,37,24,3,0,0,0
438,0,20,3,5,1,0,1
439,0,17,5,0,1,0,1
440,0,54,5,5,0,0,0
441,0,39,12,4,0,0,0
442,0,32,9,1,0,0,0
443,0,25,30,4,1,0,0
444,0,28,7,0,1,0,1
445,0,52,25,5,0,0,0
446,1,54,4,8,0,0,0
447,1,54,21,0,0,0,0
448,1,26,26,5,0,0,0
449,0,40,15,3,1,0,1
450,0,56,9,3,1,1,0
451,0,49,26,5,0,0,0
452,1,27,25,3,0,0,1
453,0,34,20,1,1,0,0
454,0,53,12,5,1,1,1
455,1,33,9,5,0,0,0
456,0,56,9,3,0,0,0
457,1,63,19,3,0,0,0
458,0,26,10,3,1,1,1
459,1,34,10,4,0,1,0
460,0,20,0,10,1,0,0
461,0,20,16,5,1,0,0
462,1,50,24,4,0,0,0
463,1,30,9,5,0,0,0
464,0,38,4,8,0,0,1
465,0,47,11,4,0,0,0
466,1,41,10,1,1,0,0
467,1,49,20,5,0,0,1
468,0,31,3,10,0,0,0
469,0,56,13,1,1,0,0
470,1,28,9,3,1,0,1
471,0,27,29,5,1,0,0
472,0,40,20,5,0,0,0
473,0,31,21,4,0,1,0
474,1,63,1,9,0,1,0
475,0,24,12,5,1,0,1
476,0,19,25,1,0,0,1
477,0,48,27,4,1,0,1
478,0,52,23,4,0,0,0
479,1,64,16,5,1,0,1
480,0,19,7,4,1,1,1
481,1,28,17,5,1,0,0
482,0,30,20,0,0,1,1
483,1,41,7,5,1,0,1
484,0,48,0,2,0,0,0
485,0,30,18,3,1,0,0
486,0,55,2,8,0,0,0
487,1,25,29,4,1,1,0
488,0,28,18,5,1,1,0
489,1,31,18,3,1,0,0
490,1,39,2,5,1,0,0
491,0,42,10,0,0,1,0
492,0,37,1,2,1,0,1
493,0,18,18,5,0,0,0
494,0,19,2,4,0,0,0
495,0,26,16,2,1,0,1
496,0,41,11,4,0,0,0
497,1,33,21,0,0,0,0
498,0,48,26,3,1,0,0
499,0,47,5,5,0,1,1
500,1,49,7,2,1,0,1
